date,Filename,frequency,amount,vgender,vhonor,emo_sim,bvtextsim,bvemosim,livetype,timeslot,bgender,numberviewers,numberlikes,wordcount,danmu_num
0908_11-14,0908_07_20,8,8,0.848341232,9.115702479,0.509504132,0.362308353,0.7024458,0,0,1,372.3333333,180,701,75
0908_11-14,0908_07_27,12,19,0.767973856,11.81433225,0.389309117,0.423518509,0.6022779,0,0,1,301.6666667,207,766,93
0908_11-14,0908_07_28,12,12,0.932038835,9.660714286,0.441801621,0.458025783,0.68321663,0,0,1,283.3333333,56,798,66
0908_11-14,0908_07_29,27,43,0.958579882,9.485981308,0.424529031,0.479786962,0.48389992,0,0,1,224,109,737,78
0908_11-14,0908_07_30,9,25,0.752336449,12.69777778,0.40902907,0.487345308,0.884346,0,0,1,206.3333333,154,777,59
0908_11-14,0908_07_31,8,13,0.921212121,11.39361702,0.373037501,0.556671202,0.68254113,0,0,1,194.3333333,122,835,60
0908_11-14,0908_07_32,41,45,0.928057554,9.319047619,0.39192926,0.390400618,0.82916906,0,0,1,203.3333333,266,768,113
0908_11-14,0908_07_33,23,39,0.832335329,10.00569801,0.333396873,0.404040158,0.47617912,0,0,1,191,232,802,98
0908_11-14,0908_07_34,3,3,0.865384615,9.78111588,0.585194692,0.425586641,0.570099,0,0,1,164,175,780,59
0908_11-14,0908_07_41,7,9,0.804195804,9.224137931,0.420389428,0.33996278,0.44842526,0,0,1,160.6666667,223,776,80
0908_11-14,0908_07_42,7,9,0.928205128,8.984042553,0.519356699,0.280103981,0.65928906,0,0,1,132.3333333,145,746,71
0908_11-14,0908_07_43,5,5,0.904761905,13.77372263,0.376891752,0.325890422,0.26942718,0,0,1,133.3333333,101,779,47
0908_11-14,0908_07_44,1,1,0.978494624,10.19811321,0.31920291,0.372337341,0.45780125,0,0,1,142.6666667,77,855,36
0908_11-14,0908_07_45,13,31,0.90625,9.316326531,0.497661366,0.473858893,0.64105666,0,0,1,146.3333333,50,780,45
0908_11-14,0908_07_46,3,3,0.926605505,10.01680672,0.386801692,0.370139062,0.6838447,0,0,1,141,96,796,32
0908_11-14,0908_07_47,4,4,0.952,6.495934959,0.390016574,0.378088236,0.4487486,0,0,1,142.3333333,83,692,48
0908_11-14,0908_07_48,6,6,0.968503937,9.204225352,0.40383574,0.397846252,0.46081895,0,0,1,134,103,732,41
0908_11-14,0908_07_49,6,6,0.976744186,8.836956522,0.386345002,0.393068075,0.60977584,0,0,1,141.6666667,67,636,27
0908_11-14,0908_07_50,4,4,0.967391304,6.536842105,0.416170246,0.319489121,0.45632184,0,0,1,140,67,792,31
0908_11-14,0908_07_51,3,3,0.857142857,8.940677966,0.499555721,0.526881337,0.47389144,0,0,1,134.6666667,92,840,40
0908_11-14,0908_07_52,4,4,0.903409091,4.747191011,0.38268015,0.413746655,0.8513516,0,0,1,128,158,875,42
0908_11-14,0908_07_53,25,56,0.964285714,6.892473118,0.294427456,0.329511136,0.54564476,0,0,1,125,36,723,49
0908_11-14,0908_07_54,7,9,0.786206897,9.914634146,0.414344925,0.410396844,0.4108668,0,0,1,135.6666667,125,785,50
0908_11-14,0908_07_55,4,4,0.914893617,6.113861386,0.36887142,0.34408313,0.7567058,0,0,1,134.3333333,147,868,71
0908_11-14,0908_07_56,6,24,0.977375566,7.382075472,0.420162635,0.34770748,0.6755837,0,0,1,129.6666667,167,832,63
0908_11-14,0908_07_57,1,1,0.930769231,11.66923077,0.427984231,0.408247262,0.6034663,0,0,1,122.6666667,76,850,66
0908_11-14,0908_07_58,7,7,0.894736842,5.905405405,0.43522727,0.336164087,0.4145749,0,0,1,117.3333333,24,792,60
0908_11-14,0908_07_59,8,8,0.813953488,8.045977011,0.364830865,0.354140967,0.31237234,0,0,1,103.6666667,19,854,71
0908_11-14,0908_07_60,3,3,0.815384615,8.814285714,0.244117144,0.327999562,0.57161576,0,0,1,102,37,537,42
0908_11-14,0908_08_00,2,2,0.620253165,6.536585366,0.346164939,0.473825938,0.8170702,1,0,0,529.3333333,106,710,15
0908_11-14,0908_08_01,31,40,0.533333333,9.881355932,0.212668742,0.618538952,0.6606774,1,0,0,591.3333333,123,765,101
0908_11-14,0908_08_02,43,141,0.526785714,10.58333333,0.315379295,0.545774198,0.85338295,1,0,0,613,197,835,86
0908_11-14,0908_08_03,6,6,0.333333333,10.90789474,0.231121045,0.490258431,0.38196144,1,0,0,597.3333333,50,819,19
0908_11-14,0908_08_05,5,5,0.619047619,14.84558824,0.3901974,0.452843046,0.49650375,1,0,0,583.3333333,97,781,37
0908_11-14,0908_08_06,7,7,0.076923077,13.75252525,0.293283119,0.49613378,0.3447045,1,0,0,555.3333333,177,925,14
0908_11-14,0908_08_07,7,23,1,23.3877551,0.346375072,0.481948173,0.5252816,1,0,0,527.3333333,38,793,5
0908_11-14,0908_08_08,2,2,0.333333333,27.70408163,0.311551218,0.486212051,0.81301525,1,0,0,512,82,728,14
0908_11-14,0908_08_09,4,4,0.235294118,12.06451613,0.308923363,0.46239928,0.79755175,1,0,0,529.3333333,17,671,10
0908_11-14,0908_09_00,478,88217,0.715122471,16.29050865,0.626614752,0.720858634,0.795805,0,0,1,5468.666667,258,970,1176
0908_11-14,0908_09_01,714,116448,0.726156365,15.31141589,0.672302265,0.647283387,0.73420576,0,0,1,5654.666667,284,947,1432
0908_11-14,0908_09_02,772,155032,0.733595285,16.56204934,0.666306013,0.732436728,0.876717,0,0,1,5896.333333,362,1032,1435
0908_11-14,0908_09_03,789,215962,0.787621359,16.44965143,0.611237399,0.61574409,0.7285066,0,0,1,5929,325,944,1426
0908_11-14,0908_09_04,680,271303,0.768773865,15.04679306,0.675119527,0.673711932,0.9376813,0,0,1,5629,314,972,1441
0908_11-14,0908_09_05,705,332449,0.775072225,15.08161648,0.601315176,0.61094023,0.88563692,0,0,1,5665.666667,325,939,1430
0908_11-14,0908_09_06,814,392983,0.735543874,15.77326695,0.651888067,0.693208879,0.8839853,0,0,1,5491.333333,298,974,1436
0908_11-14,0908_09_07,959,489009,0.70336269,17.47702407,0.601376772,0.692964172,0.88873196,0,0,1,5434,285,957,1441
0908_11-14,0908_09_08,886,567874,0.726254666,17.35468165,0.711660425,0.63396821,0.9238101,0,0,1,5369.333333,318,964,1437
0908_11-14,0908_09_11,563,228395,0.738647343,14.89045183,0.700694173,0.643340302,0.7792318,0,0,1,5035,338,950,1430
0908_11-14,0908_09_12,613,164286,0.775047259,15.47484144,0.674706038,0.647031528,0.9890192,0,0,1,4891,250,1029,1430
0908_11-14,0908_09_13,597,145533,0.795561851,16.03422554,0.758757105,0.63882134,0.85211667,0,0,1,4604.333333,240,972,1406
0908_11-14,0908_09_14,604,57874,0.80344523,14.56983009,0.706934016,0.698640889,0.87455946,0,0,1,4431.333333,352,979,1415
0908_11-14,0908_09_15,565,7470,0.754993342,12.94460888,0.656254363,0.687717688,0.9569414,0,0,1,4404.333333,340,955,1411
0908_11-14,0908_09_16,658,34424,0.718695652,14.96958333,0.614863671,0.65275268,0.9263117,0,0,1,4310,308,981,1392
0908_11-14,0908_09_17,814,55119,0.770410278,13.36474164,0.762228605,0.652241266,0.707992,0,0,1,4248.333333,375,1029,1403
0908_11-14,0908_09_18,1155,30302,0.792687386,11.85220664,0.692859407,0.73670814,0.80414495,0,0,1,4220.333333,290,976,1421
0908_11-14,0908_09_19,697,1527,0.761966365,12.00244698,0.583999848,0.694151354,0.72308503,0,0,1,4186.666667,335,981,1412
0908_11-14,0908_09_20,1363,3379,0.781229125,12.24654088,0.677673312,0.735125905,0.77478266,0,0,1,4182,382,970,1408
0908_11-14,0908_09_21,798,6767,0.826394671,12.96318057,0.622158729,0.64092738,0.81800325,0,0,1,4037,313,925,1433
0908_11-14,0908_09_22,535,6839,0.824723247,13.98970917,0.652162293,0.727728552,0.83371943,0,0,1,4055.333333,304,997,1431
0908_11-14,0908_09_23,271,1683,0.793876435,12.10537298,0.513293882,0.681336224,0.8939265,0,0,1,3980,315,888,1364
0908_11-14,0908_09_24,259,835,0.822589532,12.5356405,0.593921229,0.738660812,0.87395227,0,0,1,4013.666667,306,951,1412
0908_11-14,0908_09_25,420,874,0.849557522,12.06221409,0.715368595,0.643343776,0.6631238,0,0,1,3928.666667,367,896,1400
0908_11-14,0908_09_26,323,645,0.845916795,12.15892421,0.618592298,0.599134982,0.64717886,0,0,1,3849,336,967,1399
0908_11-14,0908_09_27,537,12881,0.795465509,13.74495413,0.792331331,0.715370393,0.7170085,0,0,1,3825,316,903,1332
0908_11-14,0908_09_28,443,12784,0.809619238,13.34019654,0.669341587,0.618635476,0.8518649,0,0,1,3979.666667,358,913,1367
0908_11-14,0908_09_29,412,10976,0.835784314,13.25149425,0.615852057,0.655453897,0.95622438,0,0,1,4097,336,841,1426
0908_11-14,0908_09_30,524,15177,0.748560461,15.64995442,0.740402289,0.671421957,0.9432252,0,0,1,4068.666667,298,940,1403
0908_11-14,0908_09_31,590,48759,0.707241226,16.2985843,0.646191301,0.695332682,0.83646953,0,0,1,4045.333333,328,974,1433
0908_11-14,0908_09_32,581,64858,0.764945652,15.06976744,0.782802328,0.662867558,0.9831992,0,0,1,4138.666667,314,994,1424
0908_11-14,0908_09_33,494,90393,0.741693964,15.15594281,0.638657233,0.645257324,0.94533798,0,0,1,4111.666667,334,924,1438
0908_11-14,0908_09_34,614,137695,0.738482385,16.89246844,0.75497991,0.704374623,0.8150759,0,0,1,4132.666667,290,943,1422
0908_11-14,0908_09_35,463,160497,0.776432231,16.02504472,0.693861304,0.674422026,0.8722208,0,0,1,4092.333333,362,898,1411
0908_11-14,0908_09_36,436,165234,0.756501182,14.18874773,0.613642582,0.588634849,0.6382593,0,0,1,4154,351,1057,1414
0908_11-14,0908_09_37,69,34395,0.804177546,15.65914787,0.373852195,0.371171415,0.5577772,0,0,1,4065,65,985,262
0909_11-14,0909_01_00,0,0,0.458333333,8.491803279,0.639860358,0.401374197,0.27621087,1,0,0,234.3333333,35,559,16
0909_11-14,0909_01_01,10,10,1,8.540983607,0.513580081,0.412122047,0.4453269,1,0,0,363,27,599,22
0909_11-14,0909_01_02,11,27,0.652542373,6.422535211,0.624679124,0.372827297,0.44496363,1,0,0,387.3333333,252,568,32
0909_11-14,0909_01_03,9,9,0.829059829,8.571884984,0.444309577,0.400972849,0.59634334,1,0,0,382.3333333,302,575,28
0909_11-14,0909_01_04,15,15,0.970930233,9.237785016,0.294991297,0.431837118,0.5203149,1,0,0,379.6666667,292,735,94
0909_11-14,0909_01_05,1,1,0.902255639,8.410480349,0.533864522,0.414510554,0.26657584,1,0,0,379.3333333,256,452,26
